Date,Open,High,Low,Close,Volume
2011-06-29,7230.95,7320.3,7230.95,7294.14,148482507
2011-06-30,7310.34,7378.35,7285.44,7376.24,116696795
2011-07-01,7374.49,7443.2,7357.03,7419.44,141248392
2011-07-04,7427.14,7450.38,7416.73,7442.96,84661282
2011-07-05,7433.13,7474.93,7424.73,7439.44,93830643
2011-07-06,7443.93,7450.71,7396.74,7431.19,121347160
2011-07-07,7467.82,7512.01,7442.98,7471.44,127076645
2011-07-08,7502.83,7523.53,7389.8,7402.73,138519476
2011-07-11,7352.73,7358.5,7188.96,7230.25,197080594
2011-07-12,7112.19,7190.47,7001.88,7174.14,252968844
2011-07-13,7171.47,7280.16,7163.09,7267.87,154203690
2011-07-14,7204.94,7267.28,7197.49,7214.74,136788870
2011-07-15,7188.7,7254.1,7139.68,7220.12,206979766
2011-07-18,7162.82,7171.55,7089.09,7107.92,168925939
2011-07-19,7148.48,7236.44,7139.76,7192.67,165009180
2011-07-20,7250.18,7263.18,7166.37,7221.36,170773472
2011-07-21,7264.98,7326.61,7142.43,7290.14,243737920
2011-07-22,7308.48,7357.25,7266.79,7326.39,199807030
2011-07-25,7273.6,7366.78,7258.52,7344.54,110943373
2011-07-26,7369.89,7382.8,7302.5,7349.45,139803869
2011-07-27,7315.75,7344.17,7216.58,7252.68,133271964
2011-07-28,7163.95,7203.01,7110.13,7190.06,164058201
2011-07-29,7108.27,7190.91,7063.82,7158.77,141657014
2011-08-01,7254.5,7282.01,6953.98,6953.98,188177858
2011-08-02,6909.43,6938.34,6772.38,6796.75,181552652
2011-08-03,6717.84,6783.07,6544.97,6640.59,263414380
2011-08-04,6714.79,6730.43,6391.54,6414.76,285753975
2011-08-05,6338.77,6436.66,6152.62,6236.16,357922250
2011-08-08,6170.69,6272.94,5911.09,5923.27,308563900
2011-08-09,5896.14,6026.27,5502.63,5917.08,431452971
2011-08-10,6040.68,6089.08,5549.02,5613.42,430501666
2011-08-11,5771.21,5825.08,5487.82,5797.66,357129526
2011-08-12,5775.96,6023.75,5678.62,5997.74,254310586
2011-08-15,6075.59,6106.11,6008.01,6022.24,142674850
2011-08-16,5957.94,5998.31,5849.52,5994.9,165115390
2011-08-17,5910.5,6018.37,5870.17,5948.94,158584187
2011-08-18,5854.36,5892.57,5535.61,5602.8,325973514
2011-08-19,5581.51,5595.15,5345.36,5480,351402236
2011-08-22,5412.75,5591.35,5408.71,5473.78,182963850
2011-08-23,5529.26,5636.06,5452.15,5532.38,186606191
2011-08-24,5579.8,5743.1,5514.15,5681.08,162588912
2011-08-25,5739.86,5777.04,5451.52,5584.14,225574204
2011-08-26,5582.5,5588.69,5403.58,5537.48,172498983
2011-08-29,5634.06,5714.72,5587.78,5670.07,99261771
2011-08-30,5713.53,5730.36,5572.65,5643.92,132990014
2011-08-31,5686.26,5869.65,5648.97,5784.85,245787114
2011-09-01,5793.1,5794.5,5639.03,5730.63,188569326
2011-09-02,5623.7,5635.5,5493.31,5538.33,182039107
2011-09-05,5409.87,5421.11,5208.37,5246.18,202455662
2011-09-06,5248.31,5332.11,5150.05,5193.97,238105969
2011-09-07,5332.52,5406.23,5276.88,5405.53,180820911
2011-09-08,5410.08,5473.68,5313.78,5408.46,161724842
2011-09-09,5383.63,5400.79,5174.24,5189.93,229313943
2011-09-12,5063.59,5126.52,4967.59,5072.33,265139626
2011-09-13,5153.95,5220.45,4976.32,5166.36,284105952
2011-09-14,5108.1,5347.82,5105.82,5340.19,231784543
2011-09-15,5386.86,5566.58,5374.57,5508.24,235478213
2011-09-16,5607.51,5655.95,5524.22,5573.51,377709441
2011-09-19,5447.32,5496.94,5362.01,5415.91,161284388
2011-09-20,5373.53,5577.6,5369.07,5571.68,158689511
2011-09-21,5557.07,5557.92,5417.85,5433.8,149189268
2011-09-22,5258.42,5289.77,5135.85,5164.21,203153416
2011-09-23,5227.09,5229.6,4973.92,5196.56,198768843
2011-09-26,5128.56,5415.56,5118.19,5345.56,211131689
2011-09-27,5502.89,5638.04,5483.23,5628.44,245882510
2011-09-28,5560.6,5700.08,5520.59,5578.42,181756706
2011-09-29,5555.07,5704.41,5533.33,5639.58,182948588
2011-09-30,5602.55,5606.56,5438.55,5502.02,179771268
