Date,Open,High,Low,Close
2011-09-08,1.4094,1.4096,1.3873,1.3885
2011-09-09,1.3887,1.3936,1.3627,1.3686
2011-09-12,1.3567,1.3693,1.35,1.3661
2011-09-13,1.3661,1.3739,1.3559,1.3679
2011-09-14,1.3678,1.3783,1.3591,1.3742
2011-09-15,1.3742,1.3936,1.3703,1.3882
2011-09-16,1.3882,1.3884,1.3754,1.3797
2011-09-19,1.368,1.372,1.3587,1.3675
2011-09-20,1.3677,1.3743,1.3593,1.3702
2011-09-21,1.3701,1.3795,1.3559,1.3588
2011-09-22,1.3587,1.3601,1.3385,1.3456
2011-09-23,1.3459,1.3566,1.3419,1.3498
2011-09-26,1.3512,1.355,1.3363,1.3527
2011-09-27,1.3526,1.3667,1.348,1.3586
2011-09-28,1.3588,1.3689,1.3523,1.3525
2011-09-29,1.3526,1.3679,1.352,1.3584
2011-09-30,1.3583,1.3601,1.3384,1.3389
2011-10-03,1.3342,1.3381,1.3164,1.319
2011-10-04,1.319,1.3369,1.3146,1.3337
2011-10-05,1.3337,1.3383,1.326,1.3348
2011-10-06,1.3345,1.345,1.3242,1.3428
2011-10-07,1.3428,1.3524,1.3361,1.3378
2011-10-10,1.3385,1.3698,1.3378,1.3637
2011-10-11,1.3635,1.3683,1.3565,1.365
2011-10-12,1.365,1.3833,1.3583,1.3777
2011-10-13,1.3779,1.3826,1.3686,1.3772
2011-10-14,1.3772,1.3894,1.3723,1.388
2011-10-17,1.388,1.3914,1.3725,1.3736
2011-10-18,1.3736,1.3817,1.3653,1.3734
2011-10-19,1.3735,1.3869,1.3725,1.376
2011-10-20,1.3759,1.3842,1.3657,1.3777
2011-10-21,1.3776,1.3901,1.3704,1.3895
2011-10-24,1.3868,1.3956,1.3823,1.3932
2011-10-25,1.3931,1.396,1.385,1.3909
2011-10-26,1.3911,1.3974,1.3799,1.3895
2011-10-27,1.3896,1.4246,1.3864,1.4185
2011-10-28,1.4184,1.42,1.4134,1.4148
2011-10-31,1.4144,1.4169,1.3829,1.3843
2011-11-01,1.3844,1.3871,1.3609,1.3663
2011-11-02,1.3662,1.3827,1.3636,1.3727
2011-11-03,1.3727,1.3854,1.3656,1.3824
2011-11-04,1.3824,1.3869,1.3711,1.3791
2011-11-07,1.3816,1.3817,1.3681,1.3765
2011-11-08,1.3766,1.3847,1.3724,1.3829
2011-11-09,1.3829,1.3858,1.3522,1.3524
2011-11-10,1.3527,1.3653,1.3484,1.3609
2011-11-11,1.361,1.3795,1.3578,1.375
2011-11-14,1.3778,1.3792,1.3592,1.3622
